County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
NIAGARA,725628,Store,JAC,FINGER FOOD PRODUCTS LLC,PIZZA LOGS,6400,INDUCON DRIVE WEST,,,SANBORN,NY,14132,0,POINT (-78.920280411 43.114001482)
SUFFOLK,740966,Store,JAC,TORTE JEFF PIE CO,TORTE JEFF PIE CO,218,EAST MAIN ST,,,PORT JEFFERSON,NY,11777,0,POINT (-73.067022075 40.94592575)
GENESEE,757978,Store,JAC,SHELBY CENTER MEAT PROCESSING LLC,SK FARM MARKET,3316,PEARL STREET RD,,,BATAVIA,NY,14020,2400,POINT (-78.260930403 42.986263583)
KINGS,616685,Store,JAC,AGOLDSTEIN FOOD INC,ASSOCIATED,480,AVENUE P,,,BROOKLYN,NY,11223,4000,POINT (-73.969707784 40.609045369)
ROCKLAND,390486,Store,A,CVS ALBANY LLC,CVS PHARMACY 02312,12,W RAMAPO RD,,,GARNERVILLE,NY,10923,10000,POINT (-74.006126651 41.200477612)
NASSAU,282022,Store,A,CVS ALBANY LLC,CVS PHARMACY 02044,254,HILLSIDE AVE,,,WILLISTON PARK,NY,11596,10000,POINT (-73.649471055 40.755052087)
CAYUGA,757729,Store,JAC,JW MARINE SERVICE LLC,JW BAIT & TACKLE,145,S CAYUGA STREET,,,UNION SPRINGS,NY,13160,0,POINT (-76.692644468 42.841157458)
QUEENS,702922,Store,JAC,CNCHAIN INC,QUICK STOP DELI & GRILL,190-20,HILLSIDE AVE,,,HOLLIS,NY,11423,1200,POINT (-73.771115101 40.715810196)
NEW YORK,629003,Store,JAC,YOUR DESIRE IN FOOD CORP,YOUR DESIRE IN FOOD,226,E 7TH STREET,,,NEW YORK,NY,10009,800,POINT (-73.979157626 40.724101407)
NASSAU,743328,Store,JAC,AAC CONVENIENCE STORE # 2 LLC,AAC CONVENIENCE STORE# 2,90-12,JERICHO TPKE,,,MINEOLA,NY,11501,1000,POINT (-73.639393325 40.750171598)
NEW YORK,733528,Store,A,GOHAR ALI,99C STAR DISCOUNT,1929,THIRD AVENUE,,,NEW YORK,NY,10029,0,POINT (-73.944251441 40.791849229)
QUEENS,722941,Store,A,ITTADI 36 INC,ITTADI CASH & CARRY,29-02,36TH AVE,,,ASTORIA,NY,11106,800,POINT (-73.931303748 40.757181845)
NEW YORK,622587,Store,JAC,LINA FOOD CORP,C TOWN,4918-26,BROADWAY,,,NEW YORK,NY,10034,25000,POINT (-73.921765226 40.867335727)
DELAWARE,755079,Store,JAC,CALDERSTONES LLC,PIZZOS GOURMET FOODS,435,MAIN ST,,,FRANKLIN,NY,13775,0,POINT (-75.165581151 42.340230198)
NEW YORK,757213,Store,JAC,WESTSIDE DELI AND CONVENIENCE CORP,WESTSIDE DELI AND CONVENIENCE,996,AMSTERDAM AVE,,,NEW YORK,NY,10025,1000,POINT (-73.964350407 40.802629865)
QUEENS,746887,Store,JAC,BEACH MINI MARKET CORP,BEACH MINI MARKET,289,BEACH 14TH STREET,,,FAR ROCKAWAY,NY,11691,1500,POINT (-73.748271481 40.597867724)
MONTGOMERY,709295,Store,A,SUHAIL IMRAN,ELITE GAS/BETTY BEAVERS MINI MART,117,E MAIN ST,,,CANAJOHARIE,NY,13317,1200,POINT (-74.566488981 42.905530349)
NEW YORK,734564,Store,JAC,LITTLE INDIA GROCERY STORE INC,LITTLE INDIA MARKET,385,3RD AVENUE,,,NEW YORK,NY,10016,0,POINT (-73.980865103 40.741658435)
WESTCHESTER,552303,Store,JAC,FARHANA&SARAH LLC,F&S PETROLEUM,98,HILLSIDE AVE,,,PORT CHESTER,NY,10573,0,POINT (-73.656739967 41.012442684)
KINGS,615770,Store,JAC,GRUNFELD BERNARD,MEHADRIN SUPERMARKET,5118-5124,12TH AVE,,,BROOKLYN,NY,11219,1500,POINT (-73.996079012 40.634876006)
QUEENS,746704,Store,JAC,JAMAO DELI & GROCERY INC,JAMAO DELI & GROCERY,201-01,LINDEN BLVD,,,SAINT ALBANS,NY,11412,1000,POINT (-73.75120389 40.694878698)
SARATOGA,410083,Store,JABC,PRICE CHOPPER OPERATING CO INC,MARKET 32 BY PRICE CHOPPER #158,115,BALLSTON AVE,,,SARATOGA SPRINGS,NY,12866,57000,POINT (-73.793006956 43.072302771)
ERIE,742960,Store,JAC,NAGI KHALIL A,JEFFERSON FOOD MARKET,1614-1616,JEFFERSON AVE,,,BUFFALO,NY,14208,1200,POINT (-78.854251718 42.919245531)
ERIE,739396,Store,JAC,SPEEDWAY LLC,SPEEDWAY #9886,2530,HAMBURG TPKE,,,BUFFALO,NY,14218,2500,POINT (-78.845348544 42.816197366)
BRONX,607865,Store,JAC,207 ALANTE ALANTE DELI GRCY CORP,ALANTE ALANTE DELI GRCY,207,MT HOPE PL,,,BRONX,NY,10457,1000,POINT (-73.905752606 40.848448575)
KINGS,724152,Store,JAC,HONG DA SUPERMARKET INC,HONG DA SUPERMARKET,2319,86TH STREET,,,BROOKLYN,NY,11214,1500,POINT (-73.990854739 40.60037362)
KINGS,747431,Store,JABC,MAIN STREET BAKESHOP INC,MAIN STREET BAKESHOP,2818,AVENUE U,,,BROOKLYN,NY,11229,120,POINT (-73.943016536 40.600187583)
NEW YORK,754283,Store,JAC,ITO INC,KIKKA SUSHI,63,MADISON AVE,,,NEW YORK,NY,10016,0,POINT (-73.985750747 40.743633923)
GENESEE,727900,Store,JAC,REID STORES INC,CROSBYS 40064,2594,MAIN RD,,,EAST PEMBROKE,NY,14056,2500,POINT (-78.310212138 42.995200159)
BRONX,750497,Store,JAC,HUNTS POINT DELI CORP,HUNTS POINT DELI,1331,SENECA AVE,,,BRONX,NY,10474,0,POINT (-73.886407341 40.819169959)
BROOME,035611,Store,JAC,PARK BENCH INC THE,PARK BENCH,100,PARK AVE,,,BINGHAMTON,NY,13903,1200,POINT (-75.915812196 42.08105974)
KINGS,671114,Store,JAC,PAZ PLACE CORP,TOV UMAITIV,2668,NOSTRAND AVENUE,,,BROOKLYN,NY,11210,2100,POINT (-73.945615345 40.619267519)
ULSTER,751228,Store,JABC,HUDSON VALLEY BAKERY INC,HUDSON VALLEY BAKERY,55,WASHINGTON AVE,,,KINGSTON,NY,12401,0,POINT (-74.016144282 41.925311825)
SARATOGA,725340,Store,JACH,DEATH WISH COFFEE LLC,DEATH WISH COFFEE,23,WOOD RD STE 100,,,ROUND LAKE,NY,12151,17000,POINT (-73.783070964 42.909061728)
ONONDAGA,310689,Store,JABC,NICHOLS SUPERMARKET INC,NICHOLS SUPERMARKET,327,1ST ST,,,LIVERPOOL,NY,13088,25000,POINT (-76.208189491 43.10168876)
RENSSELAER,385509,Store,JABC,WAL-MART STORES EAST LP,WAL-MART 1940,279,TROY RD,,,RENSSELAER,NY,12144,150000,POINT (-73.699703465 42.64291606)
KINGS,723215,Store,JAC,ZOON 410 CORP,MR LEMON,410,KNICKERBOCKER AVE,,,BROOKLYN,NY,11237,5000,POINT (-73.920091192 40.69967235)
QUEENS,723322,Store,JAC,LEE MOON KEE,SEAFOOD DEPT,101-16,77TH STREET,,,OZONE PARK,NY,11416,20,POINT (-73.860644807 40.679486003)
KINGS,717420,Store,JAC,LOVE & DELICIOUS DELI & GROCERY CORP,LOVE & DELICIOUS DELI & GROCERY,365,AVENUE X,,,BROOKLYN,NY,11223,4000,POINT (-73.969535955 40.590754967)
NEW YORK,741608,Store,JAC,MANHATTANVILLE GOURMET DELI 2 INC,MANHATTANVILLE GOURMET DELI 2,1477,AMSTERDAM AVE,,,NEW YORK,NY,10027,1400,POINT (-73.95308647 40.817444753)
RENSSELAER,720605,Store,JACDK,CAPITAL ROOTS INC,CAPITAL ROOTS,594,RIVER ST,,,TROY,NY,12180,2000,POINT (-73.685074446 42.742047698)
WESTCHESTER,755181,Store,JAC,264 RIVERDALE DELI GROCERY CORP,264 RIVERDALE DELI GROCERY,264,RIVERDALE AVENUE,,,YONKERS,NY,10705,0,POINT (-73.900472845 40.923626828)
ULSTER,743917,Store,JAC,BERRY SWEET INC,EDIBLE ARRANGEMENTS,220,PLAZA RD,,,KINGSTON,NY,12401,1800,POINT (-74.016731602 41.937163585)
BRONX,754531,Store,JAC,BUY & BUY DELI CORP,BUY & BUY DELI,798,LYDIG AVE,,,BRONX,NY,10462,1000,POINT (-73.864029671 40.854341682)
ERIE,741824,Store,JACG,MASSACHUSETTS AVENUE PROJECT,MASSACHUSETTS AVENUE PROJECT,387,MASSACHUSETTS AVENUE,,,BUFFALO,NY,14213,2000,POINT (-78.887685453 42.912663684)
QUEENS,634947,Store,JAC,CHEZ MIREILLE GROCERY INC,CHEZ MIREILLE GROCERY,221-03,LINDEN BLVD,,,CAMBRIA HEIGHTS,NY,11411,1600,POINT (-73.739015262 40.694931294)
SUFFOLK,746810,Store,JAC,HEITNER SHOPPE LLC,SOUND AVE DELI,5087,SOUND AVENUE,,,RIVERHEAD,NY,11901,1200,POINT (-72.626723718 40.967771756)
SUFFOLK,723748,Store,JAC,EAST END MARKETING CORP,VALERO FOOD MART,151,HOSPITAL RD,,,PATCHOGUE,NY,11772,2000,POINT (-72.978586336 40.785228783)
KINGS,612413,Store,JAC,GLATT MART INC,GLATT MART,1205,AVENUE M,,,BROOKLYN,NY,11230,3500,POINT (-73.962601523 40.617863005)
NEW YORK,724357,Store,JAC,FRESH SUPERETTE INC,FRESH SUPERETTE,804,W 181ST STREET,,,NEW YORK,NY,10033,1200,POINT (-73.938602122 40.850883308)
WESTCHESTER,728307,Store,A,CVS ALBANY LLC,CVS/PHARMACY #10689,1064,WILMOT RD,,,SCARSDALE,NY,10583,10000,POINT (-73.77759702 40.983732464)
NASSAU,757208,Store,A,HEALTHY MEALS DIRECT LLC,HEALTHY MEALS DIRECT,55,W. SUNRISE HIGHWAY,,,FREEPORT,NY,11520,1000,POINT (-73.584639129 40.656234059)
SUFFOLK,473933,Store,JAC,TARA ASHOK,7-ELEVEN STORE 25171 F,2,E MAIN ST,,,EAST ISLIP,NY,11730,3000,POINT (-73.190397235 40.730920211)
WESTCHESTER,552809,Store,JAC,DEMARIA'S HEMLOCK HILL FARM LLC,HEMLOCK HILL FARM,500,CROTON AVE,,,CORTLANDT MANOR,NY,10567,1100,POINT (-73.853217267 41.266915929)
KINGS,753417,Store,JAC,GATE OF YEMEN LLC,ALARABI MARKET,6824,5TH AVENUE,,,BROOKLYN,NY,11220,2000,POINT (-74.021110727 40.633656858)
QUEENS,732017,Store,JAC,CORONA FOOD CORP,CORONA FOOD,10502,34TH AVE,,,CORONA,NY,11368,0,POINT (-73.863243951 40.755877663)
LIVINGSTON,711785,Store,JAC,DANSVILLE CORP,DANSVILLE VILLAGE MART,100,CLARA BARTON ST,,,DANSVILLE,NY,14437,2400,POINT (-77.701415568 42.553332836)
NEW YORK,750185,Store,JAC,SAMA GOURMET MARKET CORP,SAMA GOURMET MARKET,27,ESSEX STREET,,,NEW YORK,NY,10002,0,POINT (-73.98985746 40.715699178)
SCHENECTADY,420462,Store,A,KRIS & BELLA STORE INC,KRIS & BELLA CONVENENCE,1685,VAN VRANKEN AVE,,,SCHENECTADY,NY,12308,1300,POINT (-73.924553382 42.823961271)
WASHINGTON,734821,Store,JAC,JUST MEATS OF GREENWICH LLC,JUST MEATS OF GREENWICH,5,SALEM STREET,,,GREENWICH,NY,12834,0,POINT (-73.499019162 43.090434127)
QUEENS,636328,Store,JABC,DYNASTY MEAT CORP,FRESH N SAVE,46-10,QUEENS BLVD,,,SUNNYSIDE,NY,11104,12000,POINT (-73.918373321 40.742845354)
KINGS,748262,Store,JAC,SULTAN DELI CORP 1,SULTAN DELI,829,GATES AVE,,,BROOKLYN,NY,11221,1500,POINT (-73.933425794 40.688324888)
NEW YORK,753465,Store,JAC,HILL 809 DELI GROCERY CORP THE,HILL 809 DELI GROCERY,64-68,WADSWORTH TERRACE,,,NEW YORK,NY,10040,1100,POINT (-73.930800415 40.856701984)
KINGS,753462,Store,JAC,MPM ENTERPRISES BEDFORD INC,UNION MARKET,1525,BEDFORD AVENUE,,,BROOKLYN,NY,11216,1600,POINT (-73.954951428 40.670812784)
QUEENS,710147,Store,JAC,NEW SENECA GARDEN INC,NEW SENECA GARDEN,601,SENECA AVE,,,RIDGEWOOD,NY,11385,1500,POINT (-73.909715737 40.704141874)
QUEENS,631774,Store,JABC,JCA FOOD CORP,FOODTOWN,84-05,PARSONS BLVD.,,,JAMAICA,NY,11432,12000,POINT (-73.807109759 40.714149615)
KINGS,616601,Store,JAC,JUBILAT PROVISIONS INC,JUBILAT PROVISIONS,608,5TH AVE,,,BROOKLYN,NY,11215,1000,POINT (-73.991038303 40.663846545)
KINGS,610403,Store,JAC,MCMICKEL GERALDINE,NC COUNTRY STORE,1169,BEDFORD AVE,,,BROOKLYN,NY,11216,1000,POINT (-73.953766997 40.683430359)
MONROE,736314,Store,JAC,APJJ INC,7 ELEVEN STORE #35073A,5152,E RIVER RD,,,WEST HENRIETTA,NY,14586,0,POINT (-77.695966828 43.040544536)
JEFFERSON,225402,Store,JABC,MARTINS FOODS OF S BURLINGTON LLC,HANNAFORD 8175,21110,NYS RT 3,,,WATERTOWN,NY,13601,53000,POINT (-75.951145101 43.97527291)
ONONDAGA,310682,Store,JAC,BRIGHTON GROCERY INC,BRIGHTON GROCERY,833,E BRIGHTON AVE,,,SYRACUSE,NY,13205,1500,POINT (-76.129783996 43.005323528)
NEW YORK,751663,Store,A,RIVERSIDE CONVENIENCE INC,RIVERSIDE CONVENIENCE,608,W 139TH ST,,,NEW YORK,NY,10031,0,POINT (-73.954407877 40.823038919)
KINGS,610596,Store,JABHK,OLD POLAND FOODS LLC,NORTHSIDE BAKERY,149,N 8TH ST,,,BROOKLYN,NY,11249,9900,POINT (-73.957420752 40.718696881)
BRONX,721919,Store,JAC,E&D 204 FOOD CORP,C-TOWN SUPERMARKET,264,E 204TH STREET,,,BRONX,NY,10458,7000,POINT (-73.884170127 40.874009733)
NEW YORK,705011,Store,JAC,GRAB & GO GOURMET DELI INC,GRAB & GO GOURMET DELI,3920,BROADWAY STORE 1,,,NEW YORK,NY,10032,2800,POINT (-73.941306208 40.838510027)
BRONX,752886,Store,JAC,Y N CAMPUS GOURMET DELI INC,Y N CAMPUS GOURMET DELI,386,E 161ST STREET,,,BRONX,NY,10451,0,POINT (-73.914462241 40.824231455)
SUFFOLK,472875,Store,JAC,ZEYMAT INC,PATRIOT GAS&CONV STR,1100,MAIN ST,,,GREENPORT,NY,11944,1000,POINT (-72.365852514 41.111789938)
QUEENS,729953,Store,A,TOP NEW TOWN 99 CENT INC,TOP NEW TOWN 99 CENT,140-75,ASH AVE,UNIT 1B &1C,,FLUSHING,NY,11355,2000,POINT (-73.821773061 40.756419385)
CAYUGA,050085,Store,JAC,SONBYRNE SALES INC,BYRNE DAIRY STORE 37,70,ARTERIAL EAST,,,AUBURN,NY,13021,7500,POINT (-76.555855077 42.937483295)
NEW YORK,627797,Store,JAC,59 BAYARD MARKET INC,59 BAYARD MARKET,59,BAYARD ST,,,NEW YORK,NY,10013,3000,POINT (-73.997883133 40.715335738)
BRONX,739872,Store,JAC,TULCINGO DINER LLC,TULCINGO DINER,4168,WHITE PLAINS RD,,,BRONX,NY,10466,1000,POINT (-73.857594549 40.89261517)
NEW YORK,750957,Store,JAC,ONALIM INC,MILANO MARKET,1582,3RD AVE,,,NEW YORK,NY,10128,2200,POINT (-73.952828811 40.780714415)
QUEENS,714418,Store,A,PEREZ TOMAS,LA TIENDITA DE LUCY,50-58,69TH ST,,,WOODSIDE,NY,11377,700,POINT (-73.896239062 40.735434452)
KINGS,614363,Store,JABC,BROOKLYN BAKERY INC,NY BROOKLYN BREAD,8118,18TH AVE,,,BROOKLYN,NY,11214,36000,POINT (-73.999657371 40.609867424)
NEW YORK,755216,Store,JAC,MY DELI 3 CORP,MY DELI 3,93,AVENUE A,,,NEW YORK,NY,10009,0,POINT (-73.984163131 40.725454414)
NEW YORK,627819,Store,JAC,SMASHIESS CORP,SMASHIESS DELI GROCERY,153,E 103RD ST,,,NEW YORK,NY,10029,1200,POINT (-73.947174798 40.790206795)
ERIE,739349,Store,JAC,SPEEDWAY LLC,SPEEDWAY #9877,4590,GENESEE ST,,,BUFFALO,NY,14225,4000,POINT (-78.71696243 42.93487535)
KINGS,747064,Store,JAC,BONAO FRUITS CORP,BONAO FRUITS,1110,LIBERTY AVE,,,BROOKLYN,NY,11208,1500,POINT (-73.868323804 40.678438349)
CHENANGO,080152,Store,JAC,USA GAS MINIMART INC,USA GAS MINIMART,1113,ROUTE 12 SOUTH,,,GREENE,NY,13778,1800,POINT (-75.795049507 42.306441195)
ERIE,710842,Store,JAC,FOOD PLUS MARKET LLC,FOOD PLUS MARKET,414,E AMHERST STREET,,,BUFFALO,NY,14215,0,POINT (-78.822197224 42.940282013)
SCHENECTADY,752108,Store,JAC,STEWARTS SHOPS CORP,STEWARTS SHOP #226,647,MARIAVILLE RD,,,SCHENECTADY,NY,12306,0,POINT (-74.003987673 42.792619114)
NEW YORK,739763,Store,JAC,BLANCO MARKET & DELI CORP,BLANCO MARKET & DELI,701,WEST 180TH STREET,,,NEW YORK,NY,10033,800,POINT (-73.93657739 40.849694712)
SUFFOLK,757309,Store,A,ALDI INC,ALDI #144,75,NY RTE 25A,,,ROCKY POINT,NY,11778,0,POINT (-72.959610641 40.945191837)
KINGS,670465,Store,JAC,581 MYRTLE AVE FOOD INC,581 MYRTLE AVE FOOD,596,MYRTLE AVE,,,BROOKLYN,NY,11205,2000,POINT (-73.960510573 40.693971147)
SUFFOLK,742458,Store,JAC,HAMPTON CONFECTIONS INC,MAIN STREET SWEETS,121,MAIN ST,,,WESTHAMPTON BEACH,NY,11978,500,POINT (-72.642779421 40.809803182)
CHENANGO,080070,Store,JAC,WAL-MART STORES EAST LP,WAL-MART SPRCNTR #2120,5396,RT 12 S,,,NORWICH,NY,13815,103141,POINT (-75.526961962 42.496848657)
HERKIMER,753265,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23760,8290,STATE RT 28,,,NEWPORT,NY,13416,10770,POINT (-75.038669721 43.203430394)
ORANGE,747948,Store,JAC,ANDYS PIT STOP LLC,ANDYS PIT STOP,307,BROADWAY,,,NEWBURGH,NY,12550,2500,POINT (-74.02166804 41.500310903)
SUFFOLK,739909,Store,JAC,27A BREWING COMPANY LLC,27A BREWING COMPANY,173,N WELLWOOD AVE,,,LINDENHURST,NY,11757,1100,POINT (-73.375292967 40.688210852)
MONROE,722004,Store,JAC,7865 S&B INC,BRIGHTON XPRESS MART,1738,MONROE AVE,,,ROCHESTER,NY,14618,0,POINT (-77.567693953 43.129669522)
WARREN,520213,Store,JACD,ADIRONDACK WINERY LLC,ADIRONDACK WINERY,285,CANADA ST,,,LAKE GEORGE,NY,12845,2500,POINT (-73.712879817 43.426037316)
CORTLAND,744229,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21716,2717,ROUTE 26,,,CINCINNATUS,NY,13040,9100,POINT (-75.903218219 42.53826934)
SARATOGA,410496,Store,JAC,MARTINS FOODS OF S BURLINGTON LLC,HANNAFORD #8267,43,ROUND LAKE RD,,,BALLSTON LAKE,NY,12019,36000,POINT (-73.812363704 42.934377591)
CHAUTAUQUA,754725,Store,JAC,MOON MEADOW FARM LLC,MOON MEADOW FARM,2929,MOON RD,,,JAMESTOWN,NY,14701,1300,POINT (-79.249635394 42.140141261)
DUTCHESS,735749,Store,JAC,CORNUCOPIA DELI CORP,CORNUCOPIA DELI,8038,ALBANY POST ROAD,,,RED HOOK,NY,12571,2800,POINT (-73.847722678 42.024969217)
DUTCHESS,130231,Store,JAC,MODEL ORGANIC FARM FOUNDATION THE,MCENROE ORGANIC FARM,5409,RT 22,,,MILLERTON,NY,12546,5000,POINT (-73.534752975 41.897755271)
ULSTER,723434,Store,JAC,NAVJOT MART INC,FOOD MART,327,BROADWAY,,,KINGSTON,NY,12401,1200,POINT (-73.992574706 41.925372007)
TOMPKINS,739093,Store,JAC,FASTRAC EG LLC,FASTRAC EG 256 - ITHACA,214,N MEADOW ST,,,ITHACA,NY,14850,0,POINT (-76.508836707 42.440626664)
NASSAU,712494,Store,A,PETROGAS GROUP US INC,APPLEGREEN,118,NEWBRIDGE RD,,,HICKSVILLE,NY,11801,1000,POINT (-73.527735143 40.763605275)
MONROE,705435,Store,JAC,SPEEDY MART LLC,SPEEDY MART,1662,ST PAUL ST,,,ROCHESTER,NY,14621,1200,POINT (-77.622019079 43.186659675)
ULSTER,510733,Store,JAW,ROBIBERO FAMILY VINEYARDS LLC,ROBIBERO FAMILY VINEYARDS,714,ALBANY POST RD,,,NEW PALTZ,NY,12561,4000,POINT (-74.162895984 41.714405288)
RENSSELAER,380284,Store,JABC,MARPES COUNTRY STORE LLC,MARPES COUNTRY STORE,2579,RT 67,,,JOHNSONVILLE,NY,12094,2000,POINT (-73.500507117 42.921039426)
SULLIVAN,740749,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20156,882,BLOOMBURG RD,,,BLOOMINGBURG,NY,12721,8300,POINT (-74.4254702 41.5707368)
KINGS,741965,Store,JAC,BOLLA OPERATING CORP,KINGS 2960 C-STORE,2960,86TH ST,,,BROOKLYN,NY,11223,2000,POINT (-73.975132636 40.590272001)
DUTCHESS,734410,Store,JAC,MAYA SNACKS & DELI LLC,MAYA SNACKS & DELI,469,MAIN STREET,,,POUGHKEEPSIE,NY,12601,600,POINT (-73.920525878 41.701820112)
ONTARIO,711020,Store,JAC,LAKESHORE COUNTRY STORE INC,LAKESHORE COUNTRY STORE,405,LAKESHORE DR,,,CANANDAIGUA,NY,14424,1800,POINT (-77.251828386 42.872170751)
BRONX,724310,Store,JAC,2056 DELI GROCERY CORP,2056 DELI GROCERY,1398,OGDEN AVE,,,BRONX,NY,10452,0,POINT (-73.923907724 40.842553373)
WARREN,743362,Store,A,42 DEGREES LLC,42 DEGREES,206,GLEN ST.,,,GLENS FALLS,NY,12801,0,POINT (-73.64515823 43.30998819)
CORTLAND,115095,Store,JAC,REINHARDT CORP,S&D PETROLEUM CO,2761,RT 26,,,CINCINNATUS,NY,13040,2400,POINT (-75.902174002 42.540790282)
MONROE,260339,Store,JAC,REID STORES INC,CROSBYS 40001,1228,HILTON PARMA CRNRS RD,,,HILTON,NY,14468,2000,POINT (-77.790419645 43.258460985)
KINGS,717410,Store,A,HEATONIST LLC,HEATONIST,121,WYTHE AVE,,,BROOKLYN,NY,11249,1000,POINT (-73.959535087 40.720221466)
QUEENS,732326,Store,JAC,DIAMOND JUBILEE BUSINESS NETWORK,DESI DELI & GROCERY,89-06,ELIOT AVE,,,REGO PARK,NY,11374,1500,POINT (-73.868697553 40.731948)
RICHMOND,737595,Store,JABC,MORAN M INC,LA IGUANA AZUL MEXICAN MARKET,14,GIFFORDS LANE,,,STATEN ISLAND,NY,10308,3500,POINT (-74.150396387 40.551136979)
ONEIDA,300079,Store,JABCH,FERLO DAVID J&CARMEN J,ORIGINAL FERLO BAKERY,522,FLOYD AVE,,,ROME,NY,13440,1500,POINT (-75.44713741 43.214131823)
TOMPKINS,505377,Store,JABC,BURNHAM JASON J,JASONS GROCERY&DELI,301,COLLEGE AVE,,,ITHACA,NY,14850,1500,POINT (-76.484851724 42.440424032)
NEW YORK,744632,Store,JAC,JALAPENO DELI CORP,JALAPENO DELI,1629,LEXINGTON AVENUE,,,NEW YORK,NY,10029,1500,POINT (-73.947698415 40.790069416)
ERIE,141600,Store,JAC,SHADY MICHAEL,J&M CONVENIENT FD SHOP,2365,WILLIAM ST,,,CHEEKTOWAGA,NY,14206,3000,POINT (-78.783129258 42.884053398)
NEW YORK,621969,Store,JAC,JH GROCERY CORP,JH GROCERY,196,AUDUBON AVE,,,NEW YORK,NY,10033,1200,POINT (-73.93543326 40.844768542)
ONONDAGA,311039,Store,A,FAMILY DOLLAR STORES OF NEW YORK LLC,FAMILY DOLLAR 4999,628,S MAIN ST,,,N SYRACUSE,NY,13212,2500,POINT (-76.142821627 43.123980222)
CHENANGO,085090,Store,A,UNITED REFINING CO OF PA INC,KWIK FILL A0045,6135,RT 12,,,NORWICH,NY,13815,1000,POINT (-75.525904668 42.550295821)
KINGS,745010,Store,JAC,FINE ALES LLC,SIDEBOARD,400,3RD AVE STE 1,,,BROOKLYN,NY,11215,700,POINT (-73.989495697 40.673532547)
ALBANY,010621,Store,JAC,SINGH GURYAM,SHAM CANDY&GROCERY,123,CENTRAL AVE,,,ALBANY,NY,12206,2000,POINT (-73.767129757 42.660330763)
ERIE,750927,Store,JAC,BLACK ANGUS MEATS & SEAFOOD INC,BLACK ANGUS MEATS & SEAFOOD,2519,NIAGARA FALLS BLVD,,,BUFFALO,NY,14228,0,POINT (-78.821797827 43.023154099)
KINGS,671850,Store,JAC,1223 GRAVESEND NECK ROAD CORP,1223 GRAVESEND NECK RD,1223,GRAVESEND NECK RD,,,BROOKLYN,NY,11229,2000,POINT (-73.957619236 40.594510017)
BROOME,739692,Store,JAC,STEPHENSON ANDREW,NATURES DESIGN,79,GLENWOOD AVE,,,BINGHAMTON,NY,13905,1000,POINT (-75.939786954 42.11338522)
MONROE,734596,Store,JAC,MRC 414 INC,7 ELEVEN STORE #35248A,1581,TITUS AVE,,,ROCHESTER,NY,14622,0,POINT (-77.573739652 43.211076536)
NASSAU,735517,Store,JAC,SAJOMA DELI CORP,SAJOMA DELI,103,CHURCH ST,,,FREEPORT,NY,11520,2500,POINT (-73.581436907 40.653734156)
SUFFOLK,728204,Store,JAC,SMA DISTRIBUTERS LLC,EDIBLE ARRANGEMENTS,601-17,PORTION ROAD,,,RONKONKOMA,NY,11779,1500,POINT (-73.088888867 40.832067193)
ONONDAGA,739674,Store,A,MR ORANGE LLC,FAROOK ALAWDI,1007,LANCASTER ST,,,SYRACUSE,NY,13210,1000,POINT (-76.12256131 43.031889928)
KINGS,758013,Store,A,ASFC INC,ASFC,2754,PITKIN AVENUE,,,BROOKLYN,NY,11208,0,POINT (-73.87032448 40.675516962)
KINGS,614545,Store,A,DUANE READE ETAL PTRS,DUANE READE 14410,756,MYRTLE AVE,,,BROOKLYN,NY,11206,9500,POINT (-73.951987938 40.694939257)
QUEENS,753763,Store,JAC,LA SIMPATIA GROCERY CORP,LA SIMPATA GROCERY,105-13,NORTHERN BLVD,,,CORONA,NY,11368,2000,POINT (-73.863179495 40.757904826)
CATTARAUGUS,730297,Store,JAC,9682MAINSTLLC,LILS DELI,9682,MAIN STREET,,,MACHIAS,NY,14101,2800,POINT (-78.494073292 42.419111995)
QUEENS,714594,Store,JAC,SAN MIGUEL DELI GROCERY INC,SAN MIGUEL DELI GROCERY,51-29,103RD ST,,,CORONA,NY,11368,1500,POINT (-73.858078268 40.741875023)
SUFFOLK,736927,Store,JAC,CULINART INC,SBU-WEST SIDE C-STORE,206E,WEST SIDE DINING,,,STONY BROOK,NY,11794,1200,POINT (-73.116495205 40.920268294)
MONROE,261783,Store,A,DOLLAR TREE STORES INC,DOLLAR TREE #2925,100,FAIRPORT VILLAGE LDG,,,FAIRPORT,NY,14450,5000,POINT (-77.443577916 43.100944405)
NEW YORK,748198,Store,A,GOLDEN EARTH CANDY INC,GOLDEN EARTH CANDY,3635,BROADWAY,,,NEW YORK,NY,10031,0,POINT (-73.948566445 40.829472156)
NASSAU,282008,Store,A,CVS ALBANY LLC,CVS PHARMACY 01169,44,N CENTRAL AVE,,,VALLEY STREAM,NY,11580,10000,POINT (-73.708448556 40.669342392)
STEUBEN,735094,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18917,3851,STATE RT 417,,,JASPER,NY,14855,0,POINT (-77.500996635 42.121158807)
